Geneid	ESC	PGCLCd6	IVD.D3	IVD.D5	IVD.D7	IVD.D9	IVD.D11	IVD.D13	IVD.D15	IVD.D17	IVD.D20	DIOL.D5	DIOL.S.D1	DIOL.S.D3	DIOL.S.D5	DIOL.S.D7
1110004F10Rik	109.296666666667	134.415	135.536666666667	171.393333333333	166.266666666667	169.093333333333	156.623333333333	85.2166666666667	73.3333333333333	61.895	58.8066666666667	198.285	126.41	134.215	134.14	148.835
1110006O24Rik	2.25	0.725	2.72	12.6366666666667	17.9533333333333	10.5633333333333	6.97333333333333	1.97333333333333	1.47333333333333	2.235	1.98666666666667	10.99	3.54	8.115	5.645	3.93
1110007C09Rik	67.9533333333333	15.12	21.5733333333333	45.2866666666667	35.0733333333333	35.7933333333333	58.19	93.3733333333333	82.73	67.02	48.5433333333333	163.45	73.865	49.29	60.31	82.16
1110008F13Rik	296.57	341.565	265.323333333333	246.846666666667	205.063333333333	238.74	241.75	234.056666666667	240.543333333333	257.91	267.03	206.42	141.19	170.905	139.16	157.825
1110008L16Rik	24.0166666666667	35.035	36.77	30.19	28.8166666666667	27.5533333333333	24.52	22.4333333333333	23.47	24.25	23.58	31.88	35.645	22.6	31.3	24.265
1110008P14Rik	53.77	143.66	97.8066666666667	100.306666666667	75.1633333333333	89.71	98.6566666666667	111.37	72.1	57.71	48.5033333333333	127.17	21.53	56.74	42.565	63.19
1110012L19Rik	59.49	35.045	45.7066666666667	42.0433333333333	21.2333333333333	30.1533333333333	43.5933333333333	91.7	96.8766666666667	104.125	109.146666666667	126.665	85.975	88.24	111.325	96.07
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0.163333333333333	1.25	1.26	1.07	2.49	2.32333333333333	1.15	0.0366666666666667	0.486666666666667	0	0.0533333333333333	0.41	0.535	0.095	0.78	0.6
1110019D14Rik	5.13666666666667	16.745	11.52	18.04	21.0066666666667	11.83	8.94	2.60333333333333	2.36333333333333	3.52	5.55333333333333	10.56	7.125	9.125	16.62	9.535
1110020A21Rik	0.536666666666667	1.03	1.85333333333333	2.12	1.89333333333333	1.83666666666667	2.49333333333333	21.25	41.4566666666667	64.05	58.7433333333333	11.68	1.99	3.8	7.55	6
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0.02	0	0.04	0	0	0.166666666666667	0.13	0.156666666666667	0.065	0	0	0	0
1110028F18Rik	0.02	0	0	0	0	0	0.27	0.9	0.546666666666667	0.625	0.55	0.785	0.56	0.945	0.745	0.065
1110032A03Rik	3.53666666666667	10.97	9.37666666666667	19.84	30.9366666666667	23.8333333333333	28.0133333333333	21.22	12.6733333333333	10.62	7.81333333333333	54.98	7.205	22.49	33.235	35.51
